"#","Embroidermodder 2 CSV Embroidery File"
"#","http://embroidermodder.github.io"

"#","General Notes:"
"#","This file can be read by Excel or LibreOffice as CSV (Comma Separated Value) or with a text editor."
"#","Lines beginning with # are comments."
"#","Lines beginning with > are variables: [VAR_NAME], [VAR_VALUE]"
"#","Lines beginning with $ are threads: [THREAD_NUMBER], [RED], [GREEN], [BLUE], [DESCRIPTION], [CATALOG_NUMBER]"
"#","Lines beginning with * are stitch entries: [STITCH_TYPE], [X], [Y]"

"#","Stitch Entry Notes:"
"#","STITCH instructs the machine to move to the position [X][Y] and then make a stitch."
"#","JUMP instructs the machine to move to the position [X][Y] without making a stitch."
"#","TRIM instructs the machine to cut the thread before moving to the position [X][Y] without making a stitch."
"#","COLOR instructs the machine to stop temporarily so that the user can change to a different color thread before resuming."
"#","END instructs the machine that the design is completed and there are no further instructions."
"#","UNKNOWN encompasses instructions that may not be supported currently."
"#","[X] and [Y] are absolute coordinates in millimeters (mm)."

"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","57"
">","THREAD_COUNT:","2"
">","EXTENTS_LEFT:","-20.700000"
">","EXTENTS_TOP:","-21.200000"
">","EXTENTS_RIGHT:","0.100000"
">","EXTENTS_BOTTOM:","21.200000"
">","EXTENTS_WIDTH:","20.800000"
">","EXTENTS_HEIGHT:","42.399999"

"#","[THREAD_NUMBER]","[RED]","[GREEN]","[BLUE]","[DESCRIPTION]","[CATALOG_NUMBER]"
"$","1","255","0","0","TODO:DESCRIPTION","TODO:CATALOG_NUMBER"
"$","2","255","255","255","TODO:DESCRIPTION","TODO:CATALOG_NUMBER"

"#","[STITCH_TYPE]","[X]","[Y]"
"*","JUMP","0.0000","-0.0000"
"*","JUMP","0.1000","-15.1000"
"*","STITCH","0.1000","-15.1000"
"*","STITCH","-0.1000","-14.9000"
"*","STITCH","0.1000","-15.1000"
"*","STITCH","-1.4000","-13.9000"
"*","STITCH","-2.9000","-12.7000"
"*","STITCH","-4.3000","-11.6000"
"*","STITCH","-5.8000","-10.4000"
"*","STITCH","-7.3000","-9.2000"
"*","STITCH","-8.8000","-8.0000"
"*","STITCH","-10.3000","-6.8000"
"*","STITCH","-11.8000","-5.6000"
"*","STITCH","-13.2000","-4.5000"
"*","STITCH","-14.7000","-3.3000"
"*","STITCH","-16.2000","-2.1000"
"*","STITCH","-17.7000","-0.9000"
"*","STITCH","-19.2000","0.3000"
"*","STITCH","-20.7000","1.5000"
"*","COLOR","0.1000","-16.4000"
"*","JUMP","0.1000","-16.4000"
"*","STITCH","0.1000","-16.4000"
"*","STITCH","-0.2000","-16.6000"
"*","STITCH","0.1000","-16.4000"
"*","STITCH","-0.1000","-14.0000"
"*","STITCH","-0.3000","-16.7000"
"*","STITCH","-0.6000","-14.3000"
"*","STITCH","-0.7000","-17.0000"
"*","STITCH","-1.0000","-14.7000"
"*","STITCH","-1.1000","-17.4000"
"*","STITCH","-1.4000","-15.0000"
"*","STITCH","-1.5000","-17.7000"
"*","STITCH","-1.8000","-15.4000"
"*","STITCH","-1.9000","-18.0000"
"*","STITCH","-2.3000","-15.7000"
"*","STITCH","-2.3000","-18.3000"
"*","STITCH","-2.7000","-16.0000"
"*","STITCH","-2.6000","-18.6000"
"*","STITCH","-3.1000","-16.4000"
"*","STITCH","-3.0000","-18.9000"
"*","STITCH","-3.5000","-16.7000"
"*","STITCH","-3.4000","-19.2000"
"*","STITCH","-3.9000","-17.0000"
"*","STITCH","-3.7000","-19.5000"
"*","STITCH","-4.3000","-17.4000"
"*","STITCH","-4.1000","-19.8000"
"*","STITCH","-4.7000","-17.7000"
"*","STITCH","-4.5000","-20.0000"
"*","STITCH","-5.1000","-18.0000"
"*","STITCH","-4.8000","-20.3000"
"*","STITCH","-5.5000","-18.3000"
"*","STITCH","-5.2000","-20.6000"
"*","STITCH","-5.9000","-18.6000"
"*","STITCH","-5.5000","-20.9000"
"*","STITCH","-6.2000","-18.9000"
"*","STITCH","-5.9000","-21.2000"
"*","END","-5.9000","21.2000"
