"#","Embroidermodder 2 CSV Embroidery File"
"#","http://embroidermodder.github.io"

"#","General Notes:"
"#","This file can be read by Excel or LibreOffice as CSV (Comma Separated Value) or with a text editor."
"#","Lines beginning with # are comments."
"#","Lines beginning with > are variables: [VAR_NAME], [VAR_VALUE]"
"#","Lines beginning with $ are threads: [THREAD_NUMBER], [RED], [GREEN], [BLUE], [DESCRIPTION], [CATALOG_NUMBER]"
"#","Lines beginning with * are stitch entries: [STITCH_TYPE], [X], [Y]"

"#","Stitch Entry Notes:"
"#","STITCH instructs the machine to move to the position [X][Y] and then make a stitch."
"#","JUMP instructs the machine to move to the position [X][Y] without making a stitch."
"#","TRIM instructs the machine to cut the thread before moving to the position [X][Y] without making a stitch."
"#","COLOR instructs the machine to stop temporarily so that the user can change to a different color thread before resuming."
"#","END instructs the machine that the design is completed and there are no further instructions."
"#","UNKNOWN encompasses instructions that may not be supported currently."
"#","[X] and [Y] are absolute coordinates in millimeters (mm)."

"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","2775"
">","THREAD_COUNT:","18"
">","EXTENTS_LEFT:","0.000000"
">","EXTENTS_TOP:","-78.990395"
">","EXTENTS_RIGHT:","78.303735"
">","EXTENTS_BOTTOM:","0.000000"
">","EXTENTS_WIDTH:","78.303735"
">","EXTENTS_HEIGHT:","78.990395"

"#","[THREAD_NUMBER]","[RED]","[GREEN]","[BLUE]","[DESCRIPTION]","[CATALOG_NUMBER]"
"$","1","0","0","0","(null)","(null)"
"$","2","0","0","0","(null)","(null)"
"$","3","0","0","0","(null)","(null)"
"$","4","0","0","0","(null)","(null)"
"$","5","0","0","0","(null)","(null)"
"$","6","0","0","0","(null)","(null)"
"$","7","0","0","0","(null)","(null)"
"$","8","0","0","0","(null)","(null)"
"$","9","0","0","0","(null)","(null)"
"$","10","0","0","0","(null)","(null)"
"$","11","0","0","0","(null)","(null)"
"$","12","255","0","0","(null)","(null)"
"$","13","91","206","250","(null)","(null)"
"$","14","245","169","184","(null)","(null)"
"$","15","255","255","255","(null)","(null)"
"$","16","245","169","184","(null)","(null)"
"$","17","91","206","250","(null)","(null)"
"$","18","255","0","0","(null)","(null)"

"#","[STITCH_TYPE]","[X]","[Y]"
"*","JUMP","0.0000","0.0000"
"*","JUMP","39.5578","-0.8310"
"*","STITCH","39.5578","-0.8310"
"*","STITCH","32.5872","-8.7395"
"*","STITCH","35.7658","-16.0729"
"*","STITCH","43.3441","-16.0729"
"*","STITCH","46.4581","-8.6651"
"*","STITCH","39.5578","-0.8310"
"*","TRIM","59.0672","-7.2466"
"*","COLOR","59.0672","-7.2466"
"*","JUMP","59.0672","-7.2466"
"*","STITCH","59.0672","-7.2466"
"*","STITCH","59.3628","-7.7737"
"*","STITCH","64.9299","-16.0729"
"*","STITCH","69.2955","-16.0729"
"*","STITCH","59.4816","-7.3835"
"*","STITCH","59.0672","-7.2466"
"*","TRIM","20.1156","-7.2977"
"*","COLOR","20.1156","-7.2977"
"*","JUMP","20.1156","-7.2977"
"*","STITCH","20.1156","-7.2977"
"*","STITCH","19.9543","-7.3086"
"*","STITCH","10.2149","-16.0729"
"*","STITCH","14.5666","-16.0729"
"*","STITCH","20.1492","-7.4703"
"*","STITCH","20.1156","-7.2977"
"*","STITCH","20.1156","-7.2977"
"*","TRIM","29.2551","-12.3031"
"*","COLOR","29.2551","-12.3031"
"*","JUMP","29.2551","-12.3031"
"*","STITCH","29.2551","-12.3031"
"*","STITCH","25.8382","-16.0729"
"*","STITCH","34.2046","-16.0729"
"*","STITCH","29.2551","-12.3031"
"*","TRIM","49.8709","-12.3031"
"*","COLOR","49.8709","-12.3031"
"*","JUMP","49.8709","-12.3031"
"*","STITCH","49.8709","-12.3031"
"*","STITCH","44.9590","-16.0729"
"*","STITCH","53.2262","-16.0729"
"*","STITCH","49.8709","-12.3031"
"*","TRIM","10.2149","-16.0729"
"*","COLOR","10.2149","-16.0729"
"*","JUMP","10.2149","-16.0729"
"*","STITCH","10.2149","-16.0729"
"*","STITCH","2.5859","-31.9479"
"*","STITCH","11.9770","-31.9479"
"*","STITCH","14.5666","-16.0729"
"*","STITCH","10.2149","-16.0729"
"*","TRIM","25.8382","-16.0729"
"*","COLOR","25.8382","-16.0729"
"*","JUMP","25.8382","-16.0729"
"*","STITCH","25.8382","-16.0729"
"*","STITCH","24.7592","-17.2635"
"*","STITCH","31.8911","-23.5396"
"*","STITCH","34.5183","-31.9479"
"*","STITCH","44.7508","-31.9479"
"*","STITCH","47.1966","-23.4890"
"*","STITCH","54.2861","-17.2635"
"*","STITCH","53.2262","-16.0729"
"*","STITCH","44.9590","-16.0729"
"*","STITCH","43.0511","-18.4288"
"*","STITCH","43.3446","-16.0729"
"*","STITCH","35.7658","-16.0729"
"*","STITCH","35.9963","-18.3544"
"*","STITCH","34.2046","-16.0729"
"*","STITCH","25.8382","-16.0729"
"*","TRIM","64.9299","-16.0729"
"*","COLOR","64.9299","-16.0729"
"*","JUMP","64.9299","-16.0729"
"*","STITCH","64.9299","-16.0729"
"*","STITCH","67.1468","-31.9479"
"*","STITCH","76.7379","-31.9479"
"*","STITCH","69.2955","-16.0729"
"*","STITCH","64.9299","-16.0729"
"*","TRIM","2.5859","-31.9479"
"*","COLOR","2.5859","-31.9479"
"*","JUMP","2.5859","-31.9479"
"*","STITCH","2.5859","-31.9479"
"*","STITCH","1.7430","-38.6540"
"*","STITCH","2.5456","-47.8229"
"*","STITCH","76.7736","-47.8229"
"*","STITCH","77.6506","-39.3547"
"*","STITCH","76.7379","-31.9479"
"*","STITCH","67.1468","-31.9479"
"*","STITCH","61.0102","-42.9762"
"*","STITCH","47.3067","-43.3917"
"*","STITCH","44.7508","-31.9479"
"*","STITCH","34.5183","-31.9479"
"*","STITCH","31.9676","-43.2279"
"*","STITCH","17.9415","-42.8398"
"*","STITCH","11.9770","-31.9479"
"*","STITCH","2.5859","-31.9479"
"*","TRIM","2.5456","-47.8229"
"*","COLOR","2.5456","-47.8229"
"*","JUMP","2.5456","-47.8229"
"*","STITCH","2.5456","-47.8229"
"*","STITCH","9.8929","-63.6979"
"*","STITCH","69.9988","-63.6979"
"*","STITCH","76.7736","-47.8229"
"*","STITCH","2.5456","-47.8229"
"*","TRIM","9.8929","-63.6979"
"*","COLOR","9.8929","-63.6979"
"*","JUMP","9.8929","-63.6979"
"*","STITCH","9.8929","-63.6979"
"*","STITCH","39.7955","-78.3368"
"*","STITCH","69.9988","-63.6979"
"*","STITCH","9.8929","-63.6979"
"*","TRIM","1.7429","-38.6540"
"*","COLOR","1.7429","-38.6540"
"*","JUMP","1.7429","-38.6540"
"*","STITCH","1.7429","-38.6540"
"*","STITCH","19.9541","-7.3088"
"*","STITCH","20.1494","-7.4702"
"*","STITCH","17.9417","-42.8397"
"*","STITCH","31.9675","-43.2281"
